timezone,temp,humidity,weather
2025-02-19 05:48:01,0.76,29,clear sky
2025-02-19 05:48:21,0.76,29,clear sky
2025-02-19 05:51:31,0.76,29,clear sky
2025-02-19 06:13:31,-0.13,18,clear sky
2025-02-19 06:39:00,1.76,25,clear sky
2025-02-19 06:50:08,1.76,25,clear sky
2025-02-19 07:00:07,1.76,25,clear sky
2025-02-19 07:22:35,-0.42,18,clear sky
2025-02-19 07:33:38,0.76,25,clear sky
2025-02-19 07:43:57,0.76,25,clear sky
2025-02-19 07:54:09,0.76,25,clear sky
2025-02-19 08:19:23,-0.74,19,clear sky
2025-02-19 08:39:10,0.76,29,clear sky
2025-02-19 08:50:52,0.76,29,clear sky
2025-02-19 09:08:42,-0.22,25,clear sky
2025-02-19 09:28:26,-1.24,29,clear sky
2025-02-19 09:40:36,-1.24,29,clear sky
2025-02-19 09:50:57,-1.24,29,clear sky
2025-02-19 10:08:50,-1.24,29,clear sky
2025-02-19 10:32:42,-3.24,39,clear sky
